               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,               1.617,               1.101,             0.87234,              0.6109,             0.58221,             0.59106,              0.3545,              1.3257,             0.84188,             0.84035,            0.006436,            0.006436,            0.006436
                  38,              1.6152,              1.1152,             0.87994,             0.65347,             0.55919,             0.59941,             0.36743,              1.2998,             0.80349,             0.84015,            0.006337,            0.006337,            0.006337
                  39,              1.6168,              1.1199,             0.87494,             0.70858,             0.54816,             0.61595,             0.36571,              1.3227,             0.80458,             0.83747,            0.006238,            0.006238,            0.006238
                  40,              1.6094,              1.1096,             0.88401,             0.66074,             0.59104,             0.63377,             0.38248,              1.3514,             0.80897,             0.84422,            0.006139,            0.006139,            0.006139
                  41,              1.6262,              1.1121,             0.87123,             0.68099,             0.54164,             0.59195,             0.35724,              1.3308,             0.81575,             0.84566,             0.00604,             0.00604,             0.00604
                  42,              1.6117,              1.1279,             0.87121,             0.68123,             0.58672,             0.60296,             0.36853,              1.3328,             0.81294,             0.84921,            0.005941,            0.005941,            0.005941
                  43,              1.5418,              1.0595,             0.86982,             0.63125,             0.41532,             0.47707,             0.27478,              1.4256,              1.1869,             0.85307,            0.005842,            0.005842,            0.005842
                  44,              1.5745,              1.0895,             0.87203,             0.66237,             0.58046,             0.61873,             0.38276,              1.2698,             0.77955,             0.83262,            0.005743,            0.005743,            0.005743
                  45,              1.6015,              1.0705,             0.86574,             0.66468,             0.52573,             0.59861,             0.34833,              1.3292,             0.82999,             0.83872,            0.005644,            0.005644,            0.005644
                  46,              1.5596,              1.0456,             0.87172,             0.63151,             0.60984,             0.62401,             0.36969,              1.2992,             0.83299,             0.83413,            0.005545,            0.005545,            0.005545
                  47,              1.5528,              1.0528,             0.86503,             0.58711,             0.60918,             0.59433,             0.35917,              1.2817,             0.84061,             0.83461,            0.005446,            0.005446,            0.005446
                  48,              1.5221,              1.0439,             0.86739,              0.6432,             0.58944,             0.63097,             0.37412,              1.2761,             0.80014,             0.83106,            0.005347,            0.005347,            0.005347
                  49,              1.5272,              1.0144,             0.86418,             0.72658,             0.57092,             0.64101,             0.39047,              1.2809,             0.77199,             0.83121,            0.005248,            0.005248,            0.005248
                  50,              1.4973,               1.015,             0.86446,             0.76723,               0.566,             0.63739,               0.402,              1.2211,             0.74129,             0.82907,            0.005149,            0.005149,            0.005149
                  51,               1.517,              1.0197,             0.85741,             0.67828,             0.60016,             0.64559,             0.39586,              1.2472,             0.77563,             0.82942,             0.00505,             0.00505,             0.00505
